age,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,Label
67,yes,yes,yes,yes,yes,1,0,419,True
76,yes,yes,yes,no,yes,1,0,2927,True
89,no,yes,yes,yes,yes,1,0,1806,True
70,yes,no,yes,yes,yes,1,0,174,True
79,yes,yes,yes,yes,yes,1,0,2271,True
80,yes,yes,no,yes,yes,1,0,2340,True
99,yes,yes,yes,yes,yes,1,0,2071,True
85,yes,yes,yes,yes,yes,1,0,2197,True
66,yes,yes,yes,yes,yes,1,0,1277,True
73,yes,yes,yes,yes,yes,1,0,1492,True
78,yes,yes,yes,yes,yes,1,0,1976,True
95,yes,yes,yes,yes,no,1,0,1660,True
78,yes,yes,yes,yes,yes,1,0,2434,True
66,yes,yes,yes,yes,yes,1,0,1995,True
97,yes,yes,yes,yes,yes,1,0,1602,True
60,yes,yes,yes,no,yes,1,0,461,True
81,no,yes,yes,yes,yes,1,0,2072,True
68,yes,yes,yes,yes,yes,1,0,1392,True
88,yes,yes,yes,yes,yes,1,0,2206,True
71,yes,yes,no,yes,yes,1,0,2686,True
89,yes,yes,yes,no,yes,1,0,642,True
87,no,yes,yes,yes,yes,1,0,1699,True
75,yes,yes,yes,yes,yes,1,0,1882,True
83,yes,yes,yes,yes,no,1,0,2123,True
70,yes,yes,yes,yes,yes,1,0,585,True
88,yes,no,yes,yes,yes,1,0,2406,True
75,yes,yes,yes,yes,yes,1,0,219,True
77,yes,yes,yes,yes,yes,1,0,2762,True
97,yes,yes,yes,yes,no,1,0,551,True
92,yes,yes,yes,yes,no,1,0,1526,True
82,no,yes,yes,yes,yes,1,0,2008,True
80,no,yes,yes,yes,yes,1,0,2898,True
85,yes,yes,yes,yes,yes,1,0,1104,True
65,yes,yes,yes,yes,yes,1,0,1139,True
92,yes,yes,yes,yes,yes,1,0,90,True
66,yes,yes,yes,yes,yes,1,0,296,True
79,no,yes,yes,yes,yes,1,0,2655,True
96,no,yes,yes,yes,yes,1,0,2792,True
69,yes,yes,yes,no,yes,1,0,875,True
90,yes,no,yes,yes,yes,1,0,182,True
70,no,yes,yes,yes,yes,1,0,981,True
94,yes,yes,yes,yes,yes,1,0,2780,True
85,yes,no,yes,yes,yes,1,0,300,True
90,no,yes,yes,yes,yes,1,0,970,True
80,yes,yes,yes,yes,yes,1,0,2761,True
92,yes,yes,no,yes,yes,1,0,341,True
83,no,yes,yes,yes,yes,1,0,239,True
79,yes,yes,no,yes,yes,1,0,1098,True
78,yes,yes,yes,yes,no,1,0,1826,True
63,yes,yes,yes,yes,yes,1,0,888,True
80,yes,no,yes,yes,yes,1,0,1240,True
60,yes,yes,yes,yes,yes,1,0,1656,True
76,yes,yes,no,yes,yes,1,0,2917,True
83,yes,yes,yes,yes,no,1,0,2803,True
73,yes,yes,no,yes,yes,1,0,489,True
100,yes,yes,yes,yes,yes,1,0,806,True
73,yes,yes,yes,yes,yes,1,0,1103,True
62,yes,yes,yes,yes,yes,1,0,113,True
85,yes,yes,yes,no,yes,1,0,1968,True
67,yes,no,yes,yes,yes,1,0,450,True
84,yes,yes,yes,yes,yes,1,0,2877,True
93,yes,yes,yes,yes,no,1,0,2103,True
80,yes,yes,no,yes,yes,1,0,1097,True
93,no,yes,yes,yes,yes,1,0,1753,True
94,yes,yes,yes,yes,yes,1,0,384,True
92,yes,yes,yes,no,yes,1,0,1059,True
97,no,yes,yes,yes,yes,1,0,629,True
91,no,yes,yes,yes,yes,1,0,105,True
69,yes,yes,yes,yes,no,1,0,688,True
60,yes,yes,yes,yes,no,1,0,1871,True
100,no,yes,yes,yes,yes,1,0,2282,True
99,yes,yes,yes,yes,yes,1,0,750,True
98,yes,yes,yes,yes,yes,1,0,967,True
80,yes,yes,yes,yes,yes,1,0,115,True
69,yes,yes,yes,yes,yes,1,0,935,True
68,yes,yes,yes,yes,yes,1,0,2702,True
66,yes,yes,yes,yes,yes,1,0,2376,True
89,yes,yes,yes,yes,yes,1,0,1916,True
69,yes,no,yes,yes,yes,1,0,42,True
91,yes,yes,yes,yes,no,1,0,2881,True
94,yes,yes,yes,yes,yes,1,0,909,True
85,yes,yes,yes,yes,yes,1,0,2932,True
82,yes,no,yes,yes,yes,1,0,2578,True
73,yes,yes,yes,yes,yes,1,0,1183,True
